year,country,pref,reuse,variance,covariance,exports,imports,consumption,maxflowreuse,leontiefreuse,impshare,logsize
1996,RUS,0,.062512644,3.4845630e-07,-.0012385065,89997.789,66316.477,366586.91,.32238403,.066575587,.14524463,13.031529
1996,RoW,.38710937,.33330753,.000059669794,.0010792998,776487.38,1117279,3651165,.96629161,.23351654,.25234118,15.30338
1996,SVK,.39492187,.50282389,8.5404135e-06,.00028909039,10209.788,12268.023,22565.627,.80240816,.36494014,.37430567,10.397434
1996,SVN,.42319337,.42966291,.000035465753,.0016134996,9285.3418,9722.748,20034.791,.63685662,.33020553,.33160654,10.28603
1996,SWE,.39023438,.32032484,8.0196896e-06,.00041519516,102366.7,79890.617,237781.86,.51063567,.24811578,.23486978,12.737138
1996,TUR,.5406006,.32821739,.000029303937,-.000028020171,35392.848,45857.664,253691.28,.81035924,.15490738,.15863086,12.574473
1996,TWN,.36757812,.39071056,.000012271104,-.00087657914,133807.56,116964.73,271537.56,.6068334,.31961027,.28855589,12.912494
1996,USA,.48095703,.1918882,.000017709935,-.0028685653,816263.63,892267.25,7952293,.6034143,.094813496,.10175759,15.986683
1997,AUS,.28154296,.18288112,4.8551310e-06,-.00015986124,85657.672,82714.633,409463.09,.55777472,.1255631,.16705951,13.112557
1997,AUT,.46435547,.36885142,5.5142955e-06,.00011532624,71205.539,73026.523,197266.41,.60736853,.25899756,.27200803,12.500502
1997,BEL,.39648438,.46663281,.000016866479,.00053307822,164690.69,143810.09,218800.42,.58312255,.39514688,.37500241,12.857072
1997,BGR,.40385741,.49136961,.000022656081,.0008783401,6196.3501,5302.7749,9774.1123,.66835576,.37211847,.33203641,9.6784964
1997,BRA,.53254396,.2237827,9.7837174e-06,.0018936136,59446.551,73317.609,838911.44,.74576581,.084371984,.081612907,13.708323
1997,CAN,.4161621,.33338627,.000011976336,.00036780053,240964.06,215113.23,589860.25,.52722788,.26244906,.25891542,13.630174
1997,CHN,.26220703,.21622519,1.9805746e-06,.00069661596,207239.22,152472.94,906726.56,.56381118,.13933052,.13687399,13.923437
1997,CYP,.64523923,.49698532,.000036858521,-.0010124501,2076.4211,4019.551,10386.333,1,.30763859,.32252511,9.4305
1997,CZE,.33051759,.44058836,4.3296805e-06,.00056685903,26967.137,29732.221,58586.871,.74467981,.31335986,.34752575,11.356903
1997,DEU,.45654297,.28743541,8.4183375e-06,.0015669299,569372.69,483107.59,1967672.1,.47717774,.18548307,.19042139,14.746511
1997,DNK,.4152832,.31900218,.000025665091,-.0012516908,59901.039,50842.656,146919.63,.4992615,.26385352,.24582967,12.239608
1997,ESP,.46826172,.3406195,.00004449828,.00089316379,125440.92,135377.56,559745.94,.65465385,.21692185,.19757758,13.437447
1997,EST,.4135254,.51611733,8.4623771e-06,-.00037727653,3067.437,3766.4902,5537.228,.73340702,.39746806,.43772653,9.0600595
1997,FIN,.35976562,.3230285,.000017321907,-.00027190024,46493.844,35691.461,104445.66,.51106954,.24686785,.23646203,11.924634
1997,FRA,.51750487,.32841066,.00010850377,.00020012152,338361.97,287321.78,1295748.4,.51631498,.20931782,.17582765,14.306609
1997,GBR,.42055663,.28401506,3.2776809e-06,-.00012205372,362418.13,330836.78,1254296.5,.51857382,.18684517,.20463523,14.295907
1997,GRC,.59953612,.40509596,.000028333639,-.00016375174,11542.936,30845.725,147126.53,1,.22335535,.1944024,11.974579
1997,HUN,.49365234,.53924948,6.9382786e-06,.00078099186,20632.605,22427.26,46021.535,.79926634,.34815922,.33647212,11.107272
1997,IDN,.38710937,.27850327,.000029875162,.0010155312,64405.785,60132.031,277335.75,.70469445,.15443294,.17595764,12.74181
1997,IND,.4144043,.2120617,.000025032819,.00057692686,47568.328,49032.762,428621.09,.77402604,.10366568,.10296903,13.073571
1997,IRL,.29619139,.43825072,7.6011197e-06,.000043359014,58755.98,46212.121,63627.422,.57472032,.38529786,.37760121,11.714914
1997,ITA,.49169922,.33608851,.000067146029,.0025918088,273709.31,232698.2,1094974.8,.53743225,.17530875,.17001601,14.12936
1997,JPN,.45263672,.16093814,.000025191695,.0025733113,464289.44,364293.56,4142119.8,.49147421,.080094129,.079084061,15.342959
1997,KOR,.4152832,.39935282,.000016458578,-.00073348929,168162.03,157672.58,513109.47,.69738364,.27722588,.23143868,13.431716
1997,LTU,.46826172,.48102224,.000020480793,.0012125669,4464.8936,5563.6318,10525.902,.73784417,.34247309,.37113652,9.6151915
1997,LUX,.32915038,.54586565,5.5586947e-06,.000045019868,19442.801,16946.412,15056.614,.63277847,.51746124,.49120867,10.448698
1997,LVA,.37226564,.36817771,5.6610043e-06,-6.4180399e-06,2550.0381,2864.4656,6221.3804,.64055592,.26016206,.32656813,9.0792542
1997,MEX,.61984861,.44708514,.00011734373,-.0015472487,113398.04,108932.42,434114.06,.70492023,.28003365,.19895893,13.21314
1997,MLT,.57626951,.601749,.00003240462,.00006901344,2044.2731,2760.7222,4160.8936,.77861315,.45251879,.44490701,8.7331371
1997,NLD,.4284668,.42889214,6.0214570e-06,.00043990652,206768.16,174567.5,339191.06,.56804216,.32814538,.31974459,13.210299
1997,POL,.45263672,.33678874,.000021507207,.0006765314,36927.273,40806.637,152612.58,.62746507,.1866823,.21529318,12.152354
1997,PRT,.49462891,.43525347,.00001172563,-.00014385609,28310.242,37903.742,115372.04,.79963207,.27886507,.26380247,11.87536
1997,ROM,.36835939,.37299606,6.2568970e-06,.00039789683,9716.8027,11887.948,37148.004,.86376584,.25879654,.25366473,10.755022
1997,RUS,0,.06547524,8.4540483e-07,-.0065531069,87131.375,69744.813,381502.41,.36228603,.068562746,.14882584,13.057577
1997,RoW,.33940428,.29539701,.000040867842,-.00031741173,635985.06,1044709.9,3779140.5,1,.20945732,.23662065,15.300547
