Year;Country;Bending;Reuse;Variance;Covariance;Exports;Imports;Consumption;Max Flow Reuse;Min Flow Reuse;Leontief Reuse
2010;IDN;0.163623047;0.146933049;1.43E-05;3.93E-04;171667.8542;151155.0065;694385.8446;0.57087448;0.002927332;0.138054238
2010;IND;0.688671875;0.301161553;1.20E-05;0.001272284;308575.87;340763.4322;1685732.92;0.758246676;0.052046791;0.215248183
2010;IRL;0.574609375;0.477663055;3.88E-06;7.12E-04;197740.6452;152820.4045;155756.7128;0.583413081;0.295351426;0.437215001
2010;ITA;0.720996094;0.358007858;4.55E-06;-9.53E-05;514167.574;547652.1594;1985304.303;0.668583669;0.018335654;0.255375926
2010;JPN;0.719824219;0.216511828;4.79E-06;-4.99E-04;835356.3576;705549.5026;5269732.975;0.57001195;1.39E-16;0.149657414
2010;KOR;0.702246094;0.430877453;6.42E-06;-6.77E-05;519652.8568;461432.2107;926872.6196;0.674181339;0.065713075;0.374945747
2010;LTU;0.630859375;0.419558454;7.23E-06;4.63E-05;17525.20607;18058.36247;34859.21782;0.592546588;0.145394071;0.333979643
2010;LUX;0.740917969;0.641130224;1.14E-05;-1.60E-04;81066.96977;65248.17954;36435.42519;0.67028005;0.535490454;0.612009662
2010;LVA;0.561328125;0.30793932;8.66E-07;-4.24E-04;8957.404367;9340.76766;23306.68781;0.599769932;0.046845773;0.242588786
2010;MEX;0.669921875;0.367488311;2.00E-05;2.06E-04;286285.297;284403.5107;1018125.171;0.595934112;0.150983116;0.303423265
2010;MLT;0.644140625;0.469828305;1.23E-05;-6.47E-04;5036.950047;5661.191735;8285.117519;0.654715128;0.210770015;0.394568281
2010;NLD;0.714550781;0.458531576;4.47E-06;3.61E-04;468328.0082;391264.3343;675552.0279;0.593355264;0.231957161;0.376490222
2010;POL;0.762109375;0.452366765;5.26E-06;0.001910238;191581.3705;189481.4807;441430.5313;0.657039115;0.059533857;0.323684336
2010;PRT;0.694140625;0.380841707;2.33E-05;-5.20E-04;55295.9716;75499.76437;234728.4973;0.740502073;0.009793086;0.275257088
2010;ROU;0.496582031;0.307950209;2.29E-06;0.001085845;46919.0149;56910.10925;165828.8627;0.709351355;0.016366843;0.240206888
2010;RUS;0;0.055820802;9.23E-06;-0.027089917;371743.201;280014.1244;1275772.173;0.245323935;0;0.052917425
2010;RoW;0.509765625;0.285222868;1.94E-05;-9.45E-04;2870206.468;3275723.425;9265314.627;0.683526272;0.04557678;0.247427556
2010;SVK;0.772265625;0.515735882;1.66E-06;-3.52E-04;56957.86595;54970.30953;83690.37676;0.639451528;0.265596846;0.418342205
2010;SVN;0.705175781;0.435739561;3.20E-06;0.001641565;23731.53876;23681.74;43996.68174;0.603063096;0.212922551;0.364329212
2010;SWE;0.719824219;0.401593529;2.51E-06;-8.84E-04;212123.1098;178440.3976;400598.5239;0.558539222;0.084994401;0.316539819
2010;TUR;0.672265625;0.265954142;1.34E-05;-8.86E-04;129404.4005;178749.4805;740113.4652;0.628740635;0.006430993;0.190608034
2010;TWN;0.738574219;0.503462119;3.53E-06;-8.14E-04;311633.1065;268995.9397;383557.4358;0.636593302;0.325255843;0.462139393
2010;USA;0.624609375;0.189825841;1.19E-05;4.47E-04;1634458.3;2142527.401;1.51E+07;0.752667878;2.85E-16;0.134605457
2009;AUS;0.426171875;0.15247323;2.59E-06;1.51E-04;200696.4909;192821.0875;975694.9032;0.528823718;1.45E-16;0.126553119
2009;AUT;0.704003906;0.388553806;1.67E-06;4.50E-04;168010.1085;153419.2308;350168.2036;0.547553285;0.087949034;0.296557237
2009;BEL;0.738574219;0.483475512;2.16E-06;-8.31E-04;301037.7153;275136.1309;429727.4136;0.602500529;0.237272437;0.405520171
2009;BGR;0.687890625;0.442711901;4.25E-06;-0.003149084;21725.16391;24912.58947;46036.87923;0.730987724;0.003104764;0.345469464
2009;BRA;0.551171875;0.151327315;5.02E-07;4.90E-04;177168.1491;168974.3391;1509595.844;0.600629058;0;0.101678656
2009;CAN;0.574609375;0.263051177;7.28E-06;6.01E-04;377137.5456;381023.5274;1292959.13;0.540562779;0.003842803;0.206010524
2009;CHN;0.687890625;0.23104063;4.05E-06;-0.00182606;1333217.087;1048884.493;4748919.867;0.613727908;0;0.190490412
2009;CYP;0.470800781;0.322138143;9.19E-06;7.39E-04;4628.495071;8671.106144;26052.64997;0.812120327;0.06978858;0.259559269
2009;CZE;0.773828125;0.495529916;6.64E-06;-2.60E-04;121602.4112;110242.0218;172837.0679;0.643948243;0.239116013;0.412561652
2009;DEU;0.680859375;0.297403249;1.94E-06;0.001165178;1265888.368;1004959.191;2903952.935;0.453693906;0.018342489;0.237122447
2009;DNK;0.712207031;0.414617008;1.95E-05;2.88E-04;133160.8006;117439.9567;272647.0121;0.563561502;0.209895388;0.359182728
2009;ESP;0.738574219;0.339514023;3.80E-06;-4.64E-04;293688.1744;350325.2464;1483541.275;0.73529325;0.007477163;0.240296012
2009;EST;0.634765625;0.387341066;3.72E-06;-8.02E-04;9918.404045;8832.514306;16806.46791;0.564557626;0.118290363;0.326885576
2009;FIN;0.651171875;0.358800671;1.47E-05;0.001047382;87225.82517;79860.24615;216527.2193;0.61566149;0.050775373;0.301178927
2009;FRA;0.761328125;0.339505494;4.67E-06;-5.29E-04;564578.9427;595525.524;2561139.219;0.621217614;0.001066912;0.243325447
2009;GBR;0.530859375;0.226779547;9.00E-06;5.96E-04;572279.8217;577281.3172;2115434.042;0.518668718;0.031676528;0.186574144
2009;GRC;0.446484375;0.298657019;1.42E-05;2.00E-04;45928.47664;89996.06911;351589.0732;0.697464569;0.100447356;0.242147009
2009;HUN;0.714550781;0.515402611;2.54E-06;0.001351568;86121.6411;81386.0289;114323.0042;0.663564958;0.256699561;0.432612558
2009;IDN;0.244140625;0.149893085;1.26E-05;-0.001241553;130588.2704;109126.0964;527370.7819;0.544434205;0.005609597;0.135721693
2009;IND;0.716894531;0.322968095;1.44E-05;0.002333564;227253.9757;267974.3402;1367541.099;0.831390306;0.066049647;0.233035686
2009;IRL;0.590234375;0.472160393;6.27E-06;6.02E-04;195689.1157;154971.7878;174444.5014;0.585226015;0.272535575;0.428842539
2009;ITA;0.698144531;0.30308096;3.69E-06;0.001776567;467638.5561;476147.3121;2023016.841;0.615737965;0.008817802;0.21340031
2009;JPN;0.712792969;0.195090743;4.47E-06;-4.07E-04;640035.8933;569068.8024;4871828.105;0.581251025;3.64E-16;0.132789394
2009;KOR;0.703417969;0.418637014;8.47E-06;-0.001669649;407710.1967;352512.8733;765613.436;0.661889992;0.069822139;0.368048855
2009;LTU;0.630078125;0.418209602;7.45E-06;-5.11E-04;17787.7088;18317.81363;35394.60285;0.591096736;0.145081293;0.332904867
2009;LUX;0.740917969;0.641071662;1.33E-05;-6.03E-04;79204.17785;63756.89569;35605.47734;0.670465702;0.535516502;0.61173371
2009;LVA;0.559765625;0.306453834;8.58E-07;-4.58E-04;9650.080882;10057.26024;25106.5839;0.597487214;0.046783648;0.241682575
2009;MEX;0.680078125;0.352387148;2.37E-05;-6.73E-04;219208.2938;221336.6335;866632.2575;0.589483449;0.133299014;0.289590261
2009;MLT;0.659765625;0.471927391;9.94E-06;-7.84E-04;4978.867309;5595.790093;8187.350963;0.65430613;0.21061485;0.393690872
