year	country	leontiefreuse	domesticpref	reuse	exports	imports	consumption	maxflow	importshare
1997	SVN	.33799773	.41367188	.43736684	9365.7686	9752.3926	19635.971	5968.2271	.33626923
1997	SWE	.26279378	.38320312	.33803001	101699.77	78082.055	215802.52	52064.629	.24592596
1997	TUR	.17318784	.46914062	.2948772	44182.52	52401.379	266665.31	32186.871	.16857566
1997	TWN	.32979396	.38242188	.39847898	141549.78	126404.93	285142.09	77962.391	.29624406
1997	USA	.095581539	.45117188	.17692284	902571.38	969989.94	8439902	523894.81	.10382582
1998	AUS	.12581062	.30273438	.19511035	71546.422	74824.578	370147.34	42260.223	.16940375
1998	AUT	.26472226	.45664063	.36805391	77143.125	76640.273	200346.42	43302.832	.27619156
1998	BEL	.38901499	.44179687	.475297	162774.11	144436.83	226313.45	92425.078	.37121934
1998	BGR	.31997544	.43710938	.46008009	5779.9995	5314.2168	11781.535	3748.4229	.30260548
1998	BRA	.086754434	.53212893	.22475836	58540.883	70462.461	811565.13	40338.75	.080981471
1998	CAN	.27367824	.41367188	.34116429	244423.69	218842.69	570410.06	123106.93	.26857343
1998	CHN	.12623841	.28017578	.20379813	207431.42	152027.78	971775.13	105787.76	.12892379
1998	CYP	.28315341	.60458982	.45249295	2095.2241	4033.8838	11033.02	1676.6053	.30726758
1998	CZE	.32237133	.34335938	.44262657	30641.168	31512.811	61100.008	20936.564	.34349692
1998	DEU	.18948461	.46835938	.29181802	600858.5	510269.03	1986871.1	278025.91	.19718793
1998	DNK	.26984951	.45976561	.33927608	59002.918	52477.117	151669.22	29998.582	.24909377
1998	ESP	.22415633	.46992189	.35451707	132596.05	150396.28	592499.13	87335.063	.20741592
1998	EST	.39838889	.39335936	.50906396	3484.3118	4203.4507	6250.2275	2499.741	.43180788
1998	FIN	.23180293	.35976562	.29915383	48939.293	36485.121	109403.46	23573.795	.23041864
1998	FRA	.21565501	.54560548	.34228268	356010.31	308308.41	1343418	182902.48	.1814189
1998	GBR	.17470759	.39882812	.26410371	360645.84	345103.03	1368523	179634.44	.19957741
1998	GRC	.22260068	.58710939	.37962034	11700.452	32574.074	149687.06	10775.769	.20183763
1998	HUN	.40008414	.53095704	.59458542	24583.807	27128.314	48309.563	19902.984	.37216437
1998	IDN	.21180163	.20585938	.24660954	49432.227	36952.926	100351.33	22966.809	.24670883
1998	IND	.11308187	.41523439	.22671629	49617.254	52971.809	435023.47	38256.438	.10930119
1998	IRL	.39359233	.28544921	.44408044	67689.961	55125.438	70640.969	36573.953	.39850405
1998	ITA	.17682537	.47851563	.33689272	279199.72	245836.95	1121118.1	149106.02	.17555797
1998	JPN	.074703932	.43632811	.14523062	422241.16	305787.91	3742991	184836.09	.07341437
1998	KOR	.27998656	.34492189	.34675449	154804.5	106221.76	306462.69	84296.891	.23028249
1998	LTU	.33124086	.50810546	.48208588	4172.6782	5658.8638	11910.408	2936.3647	.35185185
1998	LUX	.54098302	.36679688	.5742591	21319.361	18844.846	15846.179	13180.532	.50705159
1998	LVA	.28608486	.38164061	.39224699	2815.4558	3445.5894	6987.9175	1808.0156	.35146976
1998	MEX	.29408121	.58789063	.45389941	121689.77	124555.82	466347.81	80124.672	.21181609
1998	MLT	.46793473	.58398438	.60962558	2297.1777	2924.4392	4318.2754	1696.8492	.44206181
1998	NLD	.3208909	.40195313	.411053	207986.08	178706.42	356685.81	117218.82	.31647834
1998	POL	.21063882	.45976561	.36740068	44720.551	50367.117	169413.73	28555.574	.23521276
1998	PRT	.28308177	.51220703	.43289658	29811.219	41710.367	123401.34	22931.273	.27223858
1998	ROM	.23546852	.38867188	.34805152	9329.5967	12425.021	42986.27	7389.5586	.23750004
1998	RUS	.087944157	.024609376	.089658447	91285.063	63704.539	289317.25	29320.529	.16737822
1998	RoW	.22171795	.44414061	.35658532	643545.38	1012170.9	3589887	580918.13	.23908989
1998	SVK	.39029559	.39960939	.50898921	12467.781	14211.735	23430.395	8788.0127	.39589018
1998	SVN	.34562281	.42226562	.44289151	10013.91	10389.182	20586.455	6327.3369	.33951169
1998	SWE	.27245376	.39023438	.35264847	104969.38	83083.102	218553.16	55106.844	.25680777
1998	TUR	.16774394	.46523437	.27106825	45068.074	49810.633	270332.88	29321.98	.15792798
1998	TWN	.3296912	.38164061	.398442	129585.44	118725.57	265147.16	72133.094	.30077469
1998	USA	.089751169	.44960937	.1672257	864155.94	987743.88	8948874	514248.59	.10065636
1999	AUS	.13005091	.32460937	.20866625	82657.727	85369.617	401642.25	47299.742	.17627425
1999	AUT	.26346037	.44726563	.3636677	78761.547	77362.039	197857.03	43263.016	.27967045
1999	BEL	.38663658	.44335938	.47557563	160458.56	141951.66	224291.73	90971.531	.36894488
1999	BGR	.37454122	.45820314	.51825392	6949.7559	7204.3638	12531.33	4864.2227	.36981326
1999	BRA	.11017609	.54033202	.26980159	55558.945	60009.887	560464.56	37279.883	.097414933
1999	CAN	.27341625	.39414063	.3354744	276309.72	238488.83	601260.25	135494.03	.27176046
1999	CHN	.14306052	.29658204	.23177911	218500.95	177255.91	1050601	126393.36	.13967034
1999	CYP	.28309014	.58007813	.43179306	2162.2451	4092.2122	11229.645	1684.9912	.30557391
1999	CZE	.33154786	.34257811	.44297975	30919.514	31669.803	59247.758	20741.912	.3512339
1999	DEU	.19829163	.46992189	.30661324	600302.88	520999.81	1952754.1	288012.28	.204069
1999	DNK	.26707155	.44335938	.32218462	63789.141	52539.43	148084.75	29560.563	.24797501
1999	ESP	.23423457	.48476562	.3708849	134697.56	164268.97	617804.94	93467.211	.2182969
1999	EST	.39550084	.40585938	.49921295	3304.5654	3740.8933	6012.8359	2306.5994	.40149534
1999	FIN	.23226975	.35117188	.2950651	49564.395	36014.113	108589.29	23910.742	.22771592
1999	FRA	.21278045	.54619139	.3482286	351545.16	312844.66	1337767.5	183959.91	.1851905
1999	GBR	.17296365	.39414063	.26200733	365501	356517.81	1412873.4	183557.06	.20047399
1999	GRC	.24675037	.54501951	.36154333	16897.086	37335.688	152477.88	13793.254	.22043215
1999	HUN	.42545623	.53330076	.61104411	26340.254	29157.662	48855.965	21012.494	.38775435
1999	IDN	.16325827	.22226563	.20092686	51848.52	37259.637	152232.31	24751.604	.18257293
1999	IND	.1285135	.45664063	.27120891	55007.254	59759.285	465227.38	46330.457	.11486987
1999	IRL	.40794548	.26962891	.44997573	79579.023	63494.402	75612.352	42970.195	.40913615
1999	ITA	.17681135	.46914062	.33545074	267446.13	248998.5	1117033.4	146527.3	.17984989
1999	JPN	.072686896	.44414061	.14238742	449039.97	332977.69	4248719	196860.92	.070880115
1999	KOR	.27354345	.40273437	.38110185	166448.66	130177.74	410783.19	100507.88	.22552072
1999	LTU	.30961341	.51982421	.45833775	3530.4419	4855.9106	11461.566	2517.0793	.32389995
1999	LUX	.54758561	.33476561	.5764181	24659.52	21572.068	16901.143	15286.435	.51905018
1999	LVA	.25175232	.35976562	.33783531	2697.958	3166.022	7396.1558	1642.8521	.31365031
1999	MEX	.30216911	.58710939	.45016822	140102.45	140646.91	527088.06	90953.609	.21080472
1999	MLT	.48097685	.58710939	.62160712	2486.6763	3136.0852	4396.6826	1838.6383	.4556039
1999	NLD	.32380372	.39726561	.40939924	212322.09	184993.3	365732.53	120184.54	.32002735
