Variable		TTL: Total																																								
Country		BEL: Belgium																																								
Time		2003																																								
Unit		US Dollar, millions																																								
Column sector (to:)		C01T05: Agriculture, hunting, forestry and fishing	C10T14: Mining and quarrying	C15T16: Food products, beverages and tobacco	C17T19: Textiles, textile products, leather and footwear	C20: Wood and products of wood and cork	C21T22: Pulp, paper, paper products, printing and publishing	C23: Coke, refined petroleum products and nuclear fuel	C24: Chemicals and chemical products	C25: Rubber and plastics products	C26: Other non-metallic mineral products	C27: Basic metals	C28: Fabricated metal products	C29: Machinery and equipment, nec	C30T33X: Computer, Electronic and optical equipment	C31: Electrical machinery and apparatus, nec	C34: Motor vehicles, trailers and semi-trailers	C35: Other transport equipment	"C36T37: Manufacturing nec; recycling"	C40T41: Electricity, gas and water supply	C45: Construction	"C50T52: Wholesale and retail trade; repairs"	C55: Hotels and restaurants	C60T63: Transport and storage	C64: Post and telecommunications	C65T67: Financial intermediation	C70: Real estate activities	C71: Renting of machinery and equipment	C72: Computer and related activities	C73T74: R&D and other business activities	"C75: Public administration and defence; compulsory social security"	C80: Education	C85: Health and social work	C90T93: Other community, social and personal services	C95: Private households with employed persons	CONS: Consumption expenditure	GFCF: Gross Fixed Capital Formation	INVNT: Changes in inventories	CONS_ABR: Direct purchases abroad by residents (imports)	CONS_NONRES: Direct purchases by non-residents (exports)	EXPO: Exports (cross border)	IMPO: Imports (cross border)
Row sector (from:)																																										
TTL_C64: Post and telecommunications		5.5	3.7	102.3	38.4	13.3	168.2	19.9	143.9	28.6	51.6	39.7	52.2	64.9	64.4	50.5	63.5	13.2	19.8	103.8	242.5	1559.9	168.5	713.4	1914.2	886.2	129.1	91.5	301.8	2188.8	391.5	66.2	238.5	342.6	0	3366.3	155.3	2.6	2.3	15.5	2314.3	1783
TTL_C65T67: Financial intermediation		239.3	13.2	459.2	125.2	57	140.9	174.5	425.4	70.8	120.1	183.9	157.8	147.8	81.2	79.5	259	31.7	80.9	168.2	802.3	1620.5	260.8	724.3	281.7	7106.8	2244.1	203.9	157.5	2546.1	284.6	82.9	555.6	282.4	0	8055	125.6	4.8	4.5	7.5	5610.3	2173.8
TTL_C70: Real estate activities		0.5	3.9	147	83.6	17.1	57.8	23.6	88	18	69	41.7	90.3	72.6	38.9	58.5	32.3	8	37.6	58.2	694.9	1824.5	388.9	880.3	222.6	959	1148.9	23	141.9	960.5	509.3	730.6	169	244.9	0	25208.2	1134	2.6	351.5	224.9	153.7	393
TTL_C71: Renting of machinery and equipment		23.6	7.6	149	22.6	15.4	50	12.6	130.5	37	116.8	51.6	65.4	55.6	35.9	47.1	51.8	10.1	18.6	67.6	292.8	751.2	29.3	982	227.7	358.7	71.2	171	320.3	841.8	88.1	26	96.8	172.3	0	228.9	35.7	1.7	121.4	72.3	247.8	1610.7
TTL_C72: Computer and related activities		5.7	2.6	78.8	28.2	7.9	47.2	27.7	245.4	18.6	27.1	40.3	36.1	41.3	81.2	35.1	62.9	8.8	9.3	40.2	131	966.7	34	252.9	401.7	1065.7	93.5	23.9	444	1091	392.7	33.2	132.4	104	0	247	2481.4	6.1	6	10.2	1957.8	2613.4
TTL_C73T74: R&D and other business activities		111	93.1	1839.7	450.6	147.3	1066.4	744.2	3090.4	234.5	405.8	507.6	546.8	661.2	635.4	453.7	853.3	142.5	195	791.2	1859.6	9971.1	815.3	2100.1	1338.4	3041.7	1706.4	663.8	1195.6	11755.2	1247.1	288.7	1172.2	1217.6	0	2782.5	2160.4	30.3	8.5	53.9	15219.9	11412
"TTL_C75: Public administration and defence; compulsory social security"		12.8	2	101.1	20.1	8.4	35.9	43.1	98.8	10.5	18.3	36.2	20.9	19.5	15.5	13.7	47.6	4.6	21.1	26.5	95.1	216.6	45.6	97.4	34.1	113.6	40.2	9.9	29.5	367.1	63.3	15.8	77	308.9	0	25708.3	110	1.8	61	79.3	249.2	344.9
TTL_C80: Education		1.9	2.4	62.4	16.3	5.8	31.1	34.4	91.9	9.1	15	25.7	20.5	22	20	14.2	40.3	4.5	9	22.6	73.8	257.6	28.3	95.3	37.8	127.2	46.6	16	34	288.1	37.6	8.6	41.6	34	0	19163.6	62.8	0.8	69.9	67.3	348.1	195.4
TTL_C85: Health and social work		252.3	0.2	20.9	2.2	1.1	9.1	6.2	20.8	2.1	2.9	3.5	3.2	3.2	3.4	2.3	2.7	1.1	1.5	1.5	13.8	39.4	11.3	44.6	17	11.9	2.9	1.6	8.8	48.6	165	24.3	2796.3	11.9	0	27941.1	22.5	1.1	23.1	39.4	30.9	90.2
TTL_C90T93: Other community, social and personal services		33	3	162	47.2	21.3	123.9	100.3	294.7	30.4	54.3	117.9	55.7	41.9	31.2	36.2	107.7	13.5	92.7	97.3	330.6	435.4	204.7	186.1	44.9	125.3	60.9	17.5	51.8	1570.7	289.6	44.5	292.4	2048.6	0	7129.2	292.8	6.6	697.2	552.6	856.3	1902.2
TTL_C95: Private households with employed persons		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	693.4	0	0	0	0	0	0
TXS_INT_FNL: Taxes less subsidies on intermediate and final products		222.3	8.3	30	79.5	16.2	40	4.9	112.9	18.8	16.9	29.4	22.7	24.4	19.7	18.4	12.8	2.9	12	28.8	221.9	449.3	332.5	1582.1	146	428.8	668.7	205.1	65.7	368.2	923.3	231.9	972.9	281.9	0	17835.2	6525.3	0	0	560	0	0
TTL_INT_FNL: Total intermediate and final expenditure at purchasers' prices		4715.4	461	23302	6804	2452.8	7539.8	12214.7	25015.5	3705.9	5032.8	12946.1	7227.9	6491.1	3573	3391	17602.1	1416.7	4233.2	4445.8	29025.9	41495.3	7243.2	27450.5	6804.5	15566.8	9588.9	2376.6	3974.9	31421	7159.2	2506.8	12155	8246.6	0	225997.2	58897.3	1451.3	8500	6466.1	223955.9	213590.2
VALU: Value added		3188.2	353.2	6670.3	2259.6	860.2	3881.5	1515.7	9528	1860.1	2638	3132.3	3785.7	2978.9	1867.8	1879.8	3698.6	614.5	1435.1	6611.1	13480.8	35959.6	4612	14647	7550.9	16236.1	26938.4	2118.5	4131.3	28765	20776.6	18586.1	19350.5	6553.1	693.4	0	0	0	0	0	0	0
OUTPUT: Output		7903.6	814.2	29972.3	9063.6	3313	11421.2	13730.3	34543.5	5566	7670.8	16078.3	11013.5	9470	5440.9	5270.8	21300.8	2031.2	5668.3	11056.8	42506.7	77454.9	11855.2	42097.5	14355.5	31802.9	36527.3	4495.1	8106.2	60186	27935.8	21092.8	31505.5	14799.7	693.4	0	0	0	0	0	0	0
