Country;Bending;Reuse;Variance;Covariance;Year;Exports;Imports;Consumption;Max Flow
FRA;0.545605469;0.342282673;5.40E-04;-0.001031454;1998;356010.326;308308.4108;1343417.955;182902.4795
GBR;0.398828125;0.26410371;7.65E-05;-0.001053589;1998;360645.8376;345103.0274;1368522.976;179634.4431
GRC;0.587109375;0.379620331;5.97E-04;1.92E-05;1998;11700.45204;32574.07397;149687.0662;10775.76862
HUN;0.530957031;0.594585417;1.75E-04;2.62E-04;1998;24583.80739;27128.31508;48309.56354;19902.98505
IDN;0.205859375;0.246609536;1.03E-04;6.16E-04;1998;49432.22666;36952.92651;100351.3302;22966.80776
IND;0.415234375;0.226716295;2.17E-04;0.001205881;1998;49617.25242;52971.8073;435023.4668;38256.43829
IRL;0.285449219;0.444080444;1.12E-04;-5.38E-04;1998;67689.9615;55125.43712;70640.97215;36573.95139
ITA;0.478515625;0.336892727;3.15E-04;-2.85E-04;1998;279199.7206;245836.9586;1121118.087;149106.0106
JPN;0.436328125;0.145230624;1.35E-04;-7.75E-04;1998;422241.1571;305787.9182;3742990.907;184836.0933
KOR;0.344921875;0.346754491;2.81E-04;0.001164279;1998;154804.5036;106221.7581;306462.6775;84296.89417
LTU;0.508105469;0.482085876;1.36E-04;-5.54E-04;1998;4172.678297;5658.863696;11910.40788;2936.364712
LUX;0.366796875;0.574259081;8.12E-05;9.33E-05;1998;21319.36192;18844.84493;15846.17882;13180.53207
LVA;0.381640625;0.392246997;1.45E-04;-7.28E-04;1998;2815.455854;3445.589372;6987.917667;1808.015622
MEX;0.587890625;0.453899414;5.72E-04;-4.63E-05;1998;121689.7673;124555.8212;466347.7972;80124.67291
MLT;0.583984375;0.609625565;1.10E-04;1.80E-04;1998;2297.177712;2924.439122;4318.27557;1696.849243
NLD;0.401953125;0.411053004;1.22E-04;-1.16E-04;1998;207986.0736;178706.4209;356685.8149;117218.8175
POL;0.459765625;0.367400667;1.54E-04;-0.002474413;1998;44720.55199;50367.11598;169413.7412;28555.57396
PRT;0.512207031;0.432896585;1.68E-04;0.0016087;1998;29811.21922;41710.36707;123401.3385;22931.27418
ROM;0.388671875;0.348051505;1.51E-04;8.09E-04;1998;9329.596716;12425.02012;42986.26961;7389.55859
RUS;0.024609375;0.089658444;1.14E-05;2.11E-04;1998;91285.05915;63704.54063;289317.2561;29320.52901
RoW;0.444140625;0.356585338;5.77E-04;-0.001341367;1998;643545.4012;1012170.875;3589887.003;580918.1178
SVK;0.399609375;0.50898919;6.87E-05;7.26E-04;1998;12467.78158;14211.73492;23430.39454;8788.013006
SVN;0.422265625;0.442891501;1.45E-04;-0.00123801;1998;10013.91034;10389.18147;20586.45448;6327.33703
SWE;0.390234375;0.352648467;1.36E-04;0.001124883;1998;104969.3781;83083.10339;218553.1596;55106.84433
TUR;0.465234375;0.271068244;3.22E-04;5.39E-04;1998;45068.07537;49810.63255;270332.8691;29321.97972
TWN;0.381640625;0.398442013;1.51E-04;-1.29E-04;1998;129585.4359;118725.5715;265147.1495;72133.09045
USA;0.449609375;0.1672257;1.99E-04;0.003852932;1998;864155.9129;987743.8527;8948873.967;514248.5906
AUS;0.324609375;0.208666245;6.38E-05;0.001137926;1999;82657.73042;85369.61768;401642.2487;47299.74285
AUT;0.447265625;0.363667697;1.23E-04;-8.41E-04;1999;78761.54591;77362.04039;197857.0354;43263.01582
BEL;0.443359375;0.475575639;1.38E-04;3.94E-04;1999;160458.5658;141951.6589;224291.7316;90971.53091
BGR;0.458203125;0.518253898;1.01E-04;-2.55E-04;1999;6949.756069;7204.363865;12531.33029;4864.222733
BRA;0.540332031;0.269801592;3.38E-04;9.22E-04;1999;55558.94453;60009.88848;560464.5812;37279.8832
