;Commodities/Industries;111CA;113FF;211;212;213;22;23;321;327;331;332;333;334;335;3361MV;3364OT;337;339;311FT;313TT;315AL;322;323;324;325;326;42;441;445;452;4A0;481;482;483;484;485;486;487OS;493;511;512;513;514;521CI;523;524;525; HS; ORE;532RL;5411;5415;5412OP;55;561;562;61;621;622;623;624;711AS;713;721;722;81; GFGD; GFGN;GFE;GSLG;GSLE;;;;F010;F02S;F02E;F02N;F02R;F030;F040;F050;F06C;F06S;F06E;F06N;F07C;F07S;F07E;F07N;F10C;F10S;F10E;F10N;;;;
IOCode;Name;Farms;Forestry, fishing, and related activities;Oil and gas extraction;Mining, except oil and gas;Support activities for mining;Utilities;Construction;Wood products;Nonmetallic mineral products;Primary metals;Fabricated metal products;Machinery;Computer and electronic products;Electrical equipment, appliances, and components;Motor vehicles, bodies and trailers, and parts;Other transportation equipment;Furniture and related products;Miscellaneous manufacturing;Food and beverage and tobacco products;Textile mills and textile product mills;Apparel and leather and allied products;Paper products;Printing and related support activities;Petroleum and coal products;Chemical products;Plastics and rubber products;Wholesale trade;Motor vehicle and parts dealers;Food and beverage stores;General merchandise stores;Other retail;Air transportation;Rail transportation;Water transportation;Truck transportation;Transit and ground passenger transportation;Pipeline transportation;Other transportation and support activities;Warehousing and storage;Publishing industries, except internet (includes software);Motion picture and sound recording industries;Broadcasting and telecommunications;Data processing, internet publishing, and other information services;Federal Reserve banks, credit intermediation, and related activities;Securities, commodity contracts, and investments;Insurance carriers and related activities;Funds, trusts, and other financial vehicles;Housing;Other real estate;Rental and leasing services and lessors of intangible assets;Legal services;Computer systems design and related services;Miscellaneous professional, scientific, and technical services;Management of companies and enterprises;Administrative and support services;Waste management and remediation services;Educational services;Ambulatory health care services;Hospitals;Nursing and residential care facilities;Social assistance;Performing arts, spectator sports, museums, and related activities;Amusements, gambling, and recreation industries;Accommodation;Food services and drinking places;Other services, except government;Federal general government (defense);Federal general government (nondefense);Federal government enterprises;State and local general government;State and local government enterprises;Sum of Intermediate Selected;Intermediate Not Selected;Total Intermediate;Personal consumption expenditures;Nonresidential private fixed investment in structures;Nonresidential private fixed investment in equipment;Nonresidential private fixed investment in intellectual property products;Residential private fixed investment;Change in private inventories;Exports of goods and services;Imports of goods and services;Federal national defense: Consumption expenditures;Federal national defense: Gross investment in structures;Federal national defense: Gross investment in equipment;Federal national defense: Gross investment in intellectual property products;Nondefense: Consumption expenditures;Federal national nondefense: Gross investment in structures;Federal national nondefense: Gross investment in equipment;Federal national nondefense: Gross investment in intellectual property products;State and local: Consumption expenditures;State and local: Gross investment in structures;State and local: Gross investment in equipment;State and local: Gross investment in intellectual property products;Sum of Final Uses (GDP) Selected;Sum of Final Uses (GDP) Not Selected;Total Final Uses (GDP);Total Commodity Output
 42;Wholesale trade;19818;1827;1300;3127;1224;5225;52133;6959;4555;18941;13679;20607;19473;8338;35875;7485;4601;7572;44585;3052;1926;9248;2813;10128;29569;9048;27151;1302;1085;1047;11514;2914;2863;2492;8268;660;340;4077;446;5838;212;5277;1051;1372;762;581;38;606;1623;7509;452;711;7938;2242;4669;1710;2041;13389;12030;2049;1706;399;1422;1396;14153;7937;7520;1561;914;22268;3791;542434;...;542438;393725;63;123797;9527;1912;2640;125573;28773;...;...;6300;217;...;...;2118;271;...;...;5982;614;701513;0;701513;1243950
 441;Motor vehicle and parts dealers;12;3;8;34;15;15;1773;50;85;45;99;783;111;1;594;377;42;60;234;14;0;70;28;0;140;45;2;112;146;1;346;0;8;0;1205;5;0;135;13;89;7;33;2;41;34;10;...;19;207;85;0;2;123;...;354;15;0;...;...;...;...;1;4;7;33;3155;...;...;0;...;0;10832;...;10833;119068;...;12198;...;15;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;131281;0;131281;142114
 445;Food and beverage stores;6;0;0;1;0;8;429;0;5;1;5;14;5;6;22;0;26;20;38;0;0;4;84;2;77;8;12;5;11;1;29;0;1;0;57;1;1;1;0;1;1;1;3;9;2;2;...;156;21;2;2;1;21;...;36;1;2;14;7;1;1;1;1;53;31;100;0;0;0;1;0;1351;...;1349;161338;...;586;...;1;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;161925;0;161925;163274
 452;General merchandise stores;12;1;1;2;1;14;1589;4;10;3;13;57;13;11;69;15;51;40;80;6;0;11;315;3;126;21;45;16;33;2;92;0;2;0;192;2;4;7;1;7;3;3;10;35;10;9;...;295;98;10;7;3;73;...;129;3;84;53;25;4;5;4;6;193;406;350;0;1;0;16;0;4706;...;4704;174799;...;2716;201;187;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;177903;0;177903;182607
 4A0;Other retail;161;3;6;92;2;494;76468;50;15;13;88;302;85;89;407;43;416;319;617;72;2;72;2073;80;2771;153;301;675;201;393;1226;3;22;379;1666;53;29;389;4;46;19;16;64;230;59;59;...;2494;376;42;51;23;494;...;588;20;127;380;175;48;35;343;178;1296;3896;2109;2;9;1;211;0;103625;...;103621;583929;...;24463;2523;4254;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;615170;0;615170;718791
 481;Air transportation;271;25;16;43;114;1044;1430;338;444;387;892;861;620;131;628;433;275;385;1378;104;37;383;582;128;1190;687;2918;84;63;190;457;6;17;84;1572;20;5;1038;63;1331;431;763;888;4180;2210;1003;118;4;2366;497;795;1632;4734;264;3502;489;924;1860;336;309;312;149;459;244;761;719;7862;1629;835;3070;97;64116;...;64121;82658;...;2655;229;28;33;28655;-22545;...;...;167;3;...;...;37;4;...;...;75;10;92009;0;92009;156131
 482;Rail transportation;1673;66;178;2188;61;2508;1701;827;1976;5179;907;454;204;310;930;240;290;221;4587;84;7;2134;190;583;5224;1223;136;8;23;4;65;64;127;16;2609;9;13;59;6;63;5;152;20;26;9;65;0;8;884;27;34;19;527;35;282;40;29;212;161;30;40;10;33;45;508;114;303;272;305;1134;1468;43944;...;43943;6537;...;2076;...;36;274;8197;-292;...;...;20;...;...;...;3;...;...;...;61;...;16911;0;16911;60854
 483;Water transportation;1178;18;226;237;38;224;1399;19;426;674;88;54;73;78;50;43;21;59;2624;26;1;115;11;113;690;45;32;8;7;2;19;54;18;14;88;5;132;32;2;6;1;21;5;5;2;1;0;4;92;14;1;3;979;22;44;18;19;70;81;17;16;6;20;17;166;40;662;51;89;365;111;11891;...;11891;15043;...;30;0;0;226;8463;12681;...;...;4;0;...;...;1;0;...;...;3;...;36451;0;36451;48343
 484;Truck transportation;5276;420;258;590;413;537;17202;1985;3047;5456;3174;3370;2367;1271;5561;1686;1157;1343;19241;1025;317;2654;917;4201;5414;2450;3435;1052;2250;3508;5725;382;285;220;3824;79;80;1471;119;1158;171;797;429;180;551;282;4;209;560;309;136;133;2768;362;1096;296;404;1302;1248;335;459;198;408;376;2954;1471;4363;459;444;4619;602;142845;...;142845;85519;21;24098;633;443;557;24141;-2924;...;...;743;14;...;...;176;17;...;...;996;39;134474;0;134474;277319
 485;Transit and ground passenger transportation;...;2;0;5;26;214;218;78;101;71;209;196;104;16;73;61;62;114;214;17;8;83;144;28;112;131;301;11;4;1;60;1;190;0;1;...;1;4;1;361;100;251;397;1801;668;678;34;1;930;173;371;589;2118;74;1218;126;410;836;523;354;70;1598;68;89;250;191;70;4;12;10570;141;27938;...;27934;28411;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;28411;0;28411;56345
